# Test
# name starting_point destination priority_vehicle dynamic_path
V1 A1 F4 0 0
V2 A1 C6 0 0
V3 A1 F6 0 0
V4 A1 F3 0 0
V5 A1 F3 0 0
V6 A1 F2 0 0
V7 A1 D6 0 0
V8 A1 F4 0 0
V9 A1 F3 1 0
V10 A1 F2 0 0
V11 A1 F3 0 0
V12 A1 F2 0 0
V13 A1 F5 0 0
V14 A1 F1 0 0
V15 A1 B6 0 0
V16 A2 D6 0 0
V17 A2 C6 0 0
V18 A2 C6 0 0
V19 A2 F1 0 0
V20 A2 C6 0 0
V21 A2 F3 0 0
V22 A2 D6 0 0
V23 A2 F2 0 0
V24 A2 F5 0 0
V25 A2 B6 0 0
V26 A2 F3 0 0
V27 A2 C6 0 0
V28 A2 F1 0 0
V29 A2 E6 0 0
V30 A2 F2 0 0
V31 A3 F3 0 0
V32 A3 D6 0 0
V33 A3 F3 0 0
V34 A3 D6 0 0
V35 A3 B6 0 0
V36 A3 F6 0 0
V37 A3 F3 0 0
V38 A3 F6 0 0
V39 A3 F5 0 0
V40 A3 F2 1 0
V41 A3 F2 0 0
V42 A3 F2 0 0
V43 A3 F5 0 0
V44 A3 D6 0 0
V45 A3 F3 0 0
V46 A4 F1 0 0
V47 A4 F6 0 0
V48 A4 F3 0 0
V49 A4 B6 0 0
V50 A4 F5 0 0
V51 A4 F5 0 0
V52 A4 B6 0 0
V53 A4 E6 0 0
V54 A4 E6 0 0
V55 A4 F6 0 0
V56 A4 F6 0 0
V57 A4 F2 0 0
V58 A4 F1 0 0
V59 A4 F5 0 0
V60 A4 F3 0 0
V61 A5 C6 0 0
V62 A5 F3 0 0
V63 A5 F6 1 0
V64 A5 F6 0 0
V65 A5 F2 0 0
V66 A5 F3 0 0
V67 A5 F4 0 0
V68 A5 F5 0 0
V69 A5 F6 0 0
V70 A5 F5 0 0
V71 A5 D6 0 0
V72 A5 F5 0 0
V73 A5 E6 0 0
V74 A5 C6 0 0
V75 A5 F2 0 0
V76 A6 F1 0 0
V77 A6 F2 0 0
V78 A6 F2 0 0
V79 A6 D6 0 0
V80 A6 F2 0 0
V81 A6 C6 0 0
V82 A6 C6 0 0
V83 A6 F5 0 0
V84 A6 F4 0 0
V85 A6 F4 0 0
V86 A6 F5 0 0
V87 A6 F6 0 0
V88 A6 F6 0 0
V89 A6 F4 0 0
V90 A6 F5 0 0
V91 B1 B6 0 0
V92 B1 F4 0 0
V93 B1 F3 0 0
V94 B1 F4 1 0
V95 B1 F3 0 0
V96 B1 B6 0 0
V97 B1 F5 0 0
V98 B1 F5 0 0
V99 B1 E6 0 0
V100 B1 F5 0 0
V101 B1 F5 0 0
V102 B1 F5 0 0
V103 B1 D6 0 0
V104 B1 F5 0 0
V105 B1 F6 0 0
V106 C1 C6 0 0
V107 C1 F4 0 0
V108 C1 C6 0 0
V109 C1 F5 0 0
V110 C1 D6 0 0
V111 C1 F3 0 0
V112 C1 F4 0 0
V113 C1 F1 0 0
V114 C1 E6 0 0
V115 C1 D6 0 0
V116 C1 F3 0 0
V117 C1 E6 0 0
V118 C1 D6 0 0
V119 C1 F1 0 0
V120 C1 F2 0 0
V121 D1 F3 0 0
V122 D1 F2 0 0
V123 D1 F6 0 0
V124 D1 F2 0 0
V125 D1 D6 0 0
V126 D1 F1 0 0
V127 D1 C6 0 0
V128 D1 E6 0 0
V129 D1 D6 0 0
V130 D1 F2 0 0
V131 D1 F1 1 0
V132 D1 F2 0 0
V133 D1 F5 0 0
V134 D1 B6 0 0
V135 D1 F4 0 0
V136 E1 F4 0 0
V137 E1 F3 0 0
V138 E1 F6 0 0
V139 E1 F2 0 0
V140 E1 D6 0 0
V141 E1 F6 0 0
V142 E1 F4 0 0
V143 E1 F3 0 0
V144 E1 E6 0 0
V145 E1 D6 0 0
V146 E1 F5 0 0
V147 E1 D6 0 0
V148 E1 B6 0 0
V149 E1 F4 0 0
V150 E1 F1 0 0
V151 A1 F6 0 1
V152 A2 F5 0 1
V153 A3 F4 0 1
V154 A4 F3 0 1
V155 A5 F2 0 1
V156 A6 F1 0 1
